LEI ,Financial Institution,,Need Financial Institutions
254900ZVK94NEC553D12,Carson Bank,,
549300214PKB2Y1ZWH75,Mid-America Bank,,
54930045EHC4UJU3BP73,M C Bank & Trust Company,,
5493002JDOI3GTNVUD76,German American Bank,,
2549003L98A6Z3YX9T46,Bendena State Bank,,
549300HI3FIGFR7SU483,Piscataqua Savings Bank,,
5493005SBCJ71Z4XVY11,First Bank of Highland Park,,
5493003OTL50WWQ5UC43,Mechanics Savings Bank,,
254900SCAXHT20CVF122,FirsTier Bank,,
549300TUT7EEMS8S2B86,The Commercial Bank,,
549300NGCDNC9174EF79,Banterra Bank,,
549300PQYQDOLH45NU80,Bank of Dade,,
5493008ETVHBTJEF0O91,Central Bank,,
549300RV76T00EYJVR19,Palmetto State Bank,,
254900BAR7I9CB7YO393,The First State Bank,,
549300DQJB9N5UAKIZ97,Soy Capital Bank and Trust Company,,
549300LLESTPOVRG3X73,Farmers Bank & Trust,,
549300S32ZDD67D2FB46,Norway Savings Bank,,
549300NBFJM2PBH24L77,The Citizens State Bank,,
549300EB748TPUCF9H23,Legacy Bank,,
549300TF1E42EUFBSL45,Mechanics Bank,,
2549006HZDO3SULWNR95,PEOPLES STATE BANK,,
549300EQM8HWHWDQXM97,South Porte Bank,,
54930087RQIJ68IJ4032,Durand State Bank,,
549300G2EZKPVQQ0D852,Terre Haute Savings Bank,,
549300HK8HC6F50IC896,Maine Community Bank,,
5493008KJFFG6PYZ5914,Saco & Biddeford Savings Institution,,
DZHW4H2BUS3DOGKT0727,Gorham Savings Bank,,
549300SVSM8JMOZJXF07,Bath Savings Institution,,
549300DDRY04AJC3ZZ52,Androscoggin Savings Bank,,
549300Q4BYXP7YD9UI61,Centreville Bank,,
549300MZ53GGF2499G54,Guaranty Bank and Trust Company,,
549300V2JTNKMMF06966,Talbot State Bank,,
549300575R17XN3DXK30,Farmers State Bank of Calhan,,
549300ZRZZ5VMD9PF263,Citizens Bank,,
549300NO5XZV44V0UV76,Vermilion Bank & Trust Company,,
549300TETFK3GXOHZ594,Texas Bank and Trust Company,,
549300POCKENHFN8BN88,Longview Bank,,
549300J40Q51KLQJLO73,Sterling State Bank,,
549300FHGNOLF14HHS09,Cambridge Savings Bank,,
549300BWLVXZW3IU4M23,SKAGIT BANK,,
549300OEQLAPVDI0LD92,Bank of Louisiana,,
254900V16AQ21JMLXX78,The First State Bank,,
549300QJNPOFWSTJX462,PrimeSouth Bank,,
549300E8WNDXIPI7FA49,American Bank & Trust Company,,
254900VA7WQ1PZGYI558,Morris Bank,,
549300054IBXNJUH0T10,Vintage Bank Kansas,,
5493006EW1E4OD5HYX89,Blue Ridge Bank and Trust Co.,,
5493008MFIR0PTRGGL44,Franklin Bank & Trust Company,,
549300KWXO8FUM7L0E14,Liberty Bank,,
54930025OQ7Y7X795P35,First State Bank,,
549300LYOOWYZPR8M567,Sandhills Bank,,
549300YV7HFY5MTM2Z65,Merrimack County Savings Bank,,
549300IQGEUYRQBJC007,State Bank of Southern Utah,,
549300RQGV5F7NXZZ089,Castroville State Bank,,
254900I4Q994MFILTR26,Keystone Savings Bank,,
254900PJVECT3YD6KY88,Bank of New Hampshire,,
549300QP3NKC4EY4SD85,Patriots Bank,,
549300ZYK1Z0EK2JC967,The Bank of Commerce,,
254900UAJ26M2YIF0822,Better Banks,,
5493009SXBJ8LKIU7Q54,CoreFirst Bank & Trust,,
254900OPB6J0NM26JY33,Oconee State Bank,,
549300UNLNLUWP9U7Z88,HARBOR COMMUNITY BANK,,
549300GE25F2CW7RV063,The Stockgrowers State Bank,,
549300ZJ52ZRS3Q0S589,Bank of O'Fallon,,
1VUZZZCW0TWP6R7N3Z33,Union Savings Bank,,
5493006RLUL4IL56SC31,Guilford Savings Bank The,,
5493004D0Z2WQR26VL57,Ion Bank,,
549300YFPHIE78XPP635,Newtown Savings Bank,,
254900QY5ST0J7P6M123,Dime Bank,,
549300RA8FPV4K1HE018,United Bank,,
549300HQW3FSOL75WC88,First County Bank,,
5493003XRX2RA8ES6W23,FARMINGTON BANK,,
549300AF6L5R08JFC036,Fowler State Bank,,
U9WBLC3ZT2VBJSNY2Y81,Fairfield County Bank,,
2549007DF4VYT8BYAG08,Collinsville Bank,,
254900QHRM7S805P5E69,Stafford Savings Bank,,
254900W4EKVR6GZ0KS84,Northwest Community Bank,,
54930015NKWX0FSGV150,Jewett City Savings Bank,,
5493000GQWJTTR0TEH83,Chelsea Groton Bank,,
549300JBZ3MK7Z4FI764,Thomaston Savings Bank,,
549300EE39SNC5DXTC46,Northern Bank & Trust Company,,
549300BEM32ZRV7MJ178,Southside Bank,,
254900LRLJWLGRD5A189,First State Bank,,
549300XYCNS3JDVQXU89,State Bank of Lizton,,
549300IVS7RAU1H3GS10,UBank,,
FYRC3KHM4DQBX5PWG390,North Dallas Bank & Trust Co.,,
5493002B2O407LCTBX72,Coulee Bank,,
254900UKANDAKWQ7CR03,NORTHEAST SECURITY BANK,,
5493001SP13TNR6TUJ97,Western Commerce Bank,,
5493002L7I6EYKW3NG91,Blackhawk Bank & Trust,,
549300JEBULFT3BSU682,Bangor Savings Bank,,
549300IQFHWJ6I4NXY90,"The Citizens Bank of Logan, Ohio",,
549300SNZET0P5BZ3J56,Morton Community Bank,,
549300OHTBYVLLO8NW69,The Farmers and Merchants Bank,,
549300PE7I3IWSUX2B53,Salisbury Bank and Trust Company,,
254900IRNXUOKGT5XK11,West Suburban Bank,,
549300W2LKZKSX67ZU02,First Service Bank,,
549300P91NEG6HBBRJ26,Mainstreet Bank,,
549300WXIUJ8ZTV7X921,Peoples Bank of Kankakee County,,
549300RBWA4J4QTPSY69,Peoples State Bank,,
549300FTVK4FVXS1IW37,Commercial Bank,,
549300X9F6RDCRU0HK78,First Bank of Owasso,,
5493006XE7ZLYUW25E11,American Bank of Commerce,,
549300HJKT0VPK6JRL39,NORSTATES BANK,,
549300DF2LWABHDUP643,Merchants Bank,,
254900695MEPYT475810,Charter Bank,,
549300JF52QHLC8BF081,Texas State Bank,,
5493007074TOVS4FJF21,North Valley Bank,,
549300PGUFTU637ZN698,Foundation One Bank,,
549300MGDBENMLUYMI91,Community Bank of Trenton,,
549300MKTQIOL1FBNZ12,"Farmers and Merchants Bank Of Fowblesburg, Maryland",,
549300TGUS6Y1N77GV58,River City Bank,,
5493003IRCQIQ6T3QS04,First Midwest Bank of Dexter,,
254900W5FH4XO4DKJB28,Harford Bank,,
254900JBC7IG8JAIPM53,First State Bank Inc.,,
549300O2UK5FUZXQJO34,United Community Bank,,
25490072WXXNN2UWDH10,CAPITAL BANK,,
549300SVQUT5ZO95KS15,Meramec Valley Bank,,
549300TSIYX9RDYWC806,First Midwest Bank of Poplar Bluff,,
549300FF2P6I0N4FHD29,Benchmark Bank,,
5493006F1N8E3EEF3W63,Fremont Bank,,
549300O0BQZ8YGYRA730,American Bank & Trust Company,,
549300JCW3RRZZ0EAH90,The Heritage Bank,,
5493002Q5MB21VG7B390,Republic Bank of Chicago,,
549300SD5OZMLCCZ6H34,Round Top State Bank,,
254900RKKWUZX0NEH310,Community State Bank of Missouri,,
2549008Q2VVT9WY4NV30,Park State Bank & Trust,,
549300XRB0LTJL53XI04,Unison Bank,,
549300E2M76Y41U4FC19,Capital Bank,,
5493005LWLLN6G3XQP35,CTBC Bank Corp. (USA),,
549300YIZECN2NB3I529,First Financial Bank,,
254900NRKWUPLHJS2E87,Kingsley State Bank,,
5493000XYE7QL54NMB52,United Community Bank,,
549300XAJENHWRM32Z86,Bank of Springfield,,
2549000VGW3PY5LIEP61,Bank of Doniphan,,
25490011JA7PP73YY190,Mt. McKinley Bank,,
549300P0GXZAWI355052,Machias Savings Bank,,
54930083VRKEK3SXZJ31,Skowhegan Savings Bank,,
254900A0ZXGBI45YZX94,Pioneer Bank,,
549300DUTN4RUBI81Z18,Lakeside Bank,,
549300WYBPIWKK6SQC06,Bell Bank,,
254900FKD0CVFUC78457,Northern State Bank of Virginia,,
YQI2CPR3Z44KAR0HG822,The Park Bank,,
549300FGUI1NQCS1M144,Midwest Community Bank,,
5493005GNZ6EJFS7LM83,International Bank of Commerce,,
5493007JVSQYT5Y2V066,"Guaranty Bank & Trust Company of Delhi, Louisiana",,
549300VNY902NJ8U3Z66,"CASS COUNTY BANK, INC",,
549300RMW817W08PUN16,Community Bank of Parkersburg,,
5493001YU4TTE8QEL245,Garden Plain State Bank,,
549300F0LV9TSW34E306,Northeast Bank,,
549300T3JUQ02E9W8I27,Alliance Bank,,
254900EY91VUW4KYE555,ValueBank Texas,,
5493005L8AW1CTD9HZ03,First Central State Bank,,
549300B8JQ9XD5FQQH32,"Citizens Bank & Trust Company of Vivian, Louisiana",,
549300SHK8JZR89HEF81,South Lafourche Bank & Trust Company,,
549300TV5ZED3EINI708,IncredibleBank,,
549300ZAI389CEN8VG51,AbbyBank,,
2549003E1YOW83GR2Q12,Plaquemine Bank and Trust Company,,
549300ALCB61YE35DM42,CHESTER COUNTY BANK,,
549300QLO8TSQW5JTK72,West Gate Bank,,
549300Z6EE8DBBFUW487,KS StateBank,,
549300NFO21T5DF35226,Century Bank and Trust Company,,
549300ZJ3ZL66QGSGO48,Lakeland Bank,,
5493008S1VWGM1A22245,"PRIORITY FUNDING, LLC",,
549300QWUZ3ZGKKC7W73,Merchants and Manufacturers Bank,,
549300VU4DO4LUWIZ863,TECHE BANK AND TRUST COMPANY,,
5493005MFZ2ASTT3WX73,All America Bank,,
549300IBHFWCA2THLC52,Tower Community Bank,,
5493009EEWZ9S4F2BE94,Kirkpatrick Bank,,
549300L5PE7ZGYRW5Q15,Citizens Bank of Las Cruces,,
2549004O2ZT0HSAP5S70,First Independence Bank,,
5493004AXW451N0CXE86,OAK BANK,,
549300SDQ83FUC7IK543,Pinnacle Bank,,
549300EKGRBBO8HEKR21,Marine Bank,,
549300R9B3X06XL9UX62,Rocky Mountain Bank,,
5493000W4QLNZXGPAF40,"Beach Community Mortgage Services, Inc.",,
549300XV2UKEPAMX9H12,Gulf Coast Bank,,
54930018CRFUH37BKR13,Farmers & Merchants Bank,,
EFBDHEMMHTWI378O4988,Heartland Bank and Trust Company,,
549300BXWU32AYWT1A56,UIF CORPORATION,,
254900GYV99GSRS94462,Liberty Bank,,
IUGPUX5LWRZ3B6KIZ697,Ameris Bank,,
549300WZQ2PP4RJDZR54,Lumbee Guaranty Bank,,
54930011HPXXLJN2D407,Byline Bank,,
2138007DQF1WY8NDYM18,NORTHWEST BANK OF ROCKFORD,,
549300684I276INJKK63,Southern Heritage Bank,,
549300256FCWXUM5FR50,Pioneer Bank,,
254900Y3CWQSLFVW8D53,Union State Bank of Fargo,,
549300RUFHC5ZQDL8J10,Citizens Tri-County Bank,,
549300RDO3TWTFEYC795,"Towne Mortgage, LLC",,
549300OJTK0IPSNDA832,Liberty Bank and Trust Company,,
549300YZP6I377PGTL47,Tri-County Bank & Trust Company,,
549300ZABGDYBUG68F18,"First State Bank of the South, Inc.",,
549300W6OBJ6KNM5Y833,Texas Bank,,
5493002T0LSBGS6UOG37,Bridgeview Bank Group,,
549300FORCF9PNPUG275,Bank of the Bluegrass and Trust Company,,
549300ZM0RZI4LRVWI94,Brickell Bank,,
549300Y5CMBB4R90KT81,CBBC Bank,,
5493006Q0EMYD3OJ8N13,BAC Florida Bank,,
549300RZCM5T73BZEI76,PeoplesSouth Bank,,
549300VEKCSSF6IT9X67,Fidelity Bank,,
549300TAFYLARKCKJ639,Bank of Monticello,,
549300FEVB4NXSZ0NJ55,Fidelity Bank of Texas,,
549300MMHYQYKZ8BBN39,Southwest Georgia Bank,,
5493001DKNDZW3UIWI38,Cornerstone State Bank,,
549300CTISSNREVLNO46,Bank of Tennessee,,
5493007NUZE2Z68U3P36,Premier Bank,,
549300L36QZWPHM6FP31,Citizens Business Bank,,
549300RUQL0X1TB8PM88,Bank Star,,
549300CYL5ZW4ISL7T55,PriorityOne Bank,,
549300V6SMX4JRBWFA12,Millbury Savings Bank,,
549300C5STIFBCFMRJ96,Kirkwood Bank & Trust Co.,,
549300W0YBCUV18HSR42,Tri Counties Bank,,
2549002MI5DFOS2RR259,Countryside Bank,,
549300A7BPOO2YO2YE30,Montecito Bank & Trust,,
5493000W1FD1FMQ03060,Frontier State Bank,,
549300KXIFQ7HCW3FR89,Andrew Johnson Bank,,
5493007VODM6C3GLTV93,INSOUTH Bank,,
254900R45W3ZMI3IVW43,First State Bank of Bloomington,,
549300VJGIUT3U3MR611,GRAND BANK OF TEXAS,,
549300D3Q016N7YOVW98,Grand Bank,,
5493007YWPQ2TU6YIG45,Magnolia State Bank,,
549300CM7HYHZ1MEJ624,Cache Valley Bank,,
54930074GUKXKBKNQI12,Progressive Bank,,
2549001IZ8XQ86KSGP97,Pony Express Community Bank,,
549300CIJ32ODQU3QI78,Lakeside State Bank,,
5493007GLUE4MCZ06K91,SB One Bank,,
254900AHLSHUJOTJG402,Colony Bank,,
549300VUQP8LETNCVK53,First Nations Bank,,
549300FN26DK7DGUPD51,West Michigan Community Bank,,
549300QG83M0EX7VC434,Pinnacle Bank - Wyoming,,
254900PTELTRJ8RGJD53,"Spirit of Texas Bank, SSB",,
549300IUOIT30T6K4P85,VIRGINIA COMMUNITY BANK,,
549300H8FMI4YLI7X514,The Citizens Bank,,
5493009Z3RI1I4GJJ133,ORITANI ASSET CORP,,
549300TAWK59H74PXZ55,Peoples Community Bank,,
5493005KZM1DEUYVS783,First American Bank,,
549300BU5TSYOCF3Y655,INLAND BANK & TRUST,,
549300PNITGJVDJVZ876,Wray State Bank,,
549300FZ8E0GLIFFYB55,Volunteer State Bank,,
254900CUL2SYJXAEFW91,Bank of the Southwest,,
549300K31SPZG5JQ7275,Spring Hill State Bank,,
5493002XCPKQYCZ56W55,Peoples Bank of Alabama,,
254900EWUWDU43PY5R60,First Texas Bank,,
549300UONVHJ0G6DSL23,American Bank Center,,
5493003HTEY5OCC5SP27,Bank of the Sierra,,
549300VI416LTAV9J614,Guthrie County State Bank,,
54930023OB56DYOL3G92,Citizens Bank of Amsterdam,,
254900L0RWWYS3CL7721,"REPUBLIC BANK, INCORPORATED",,
25490051QQ72KQWNN915,Community Bank of Marshall,,
549300KPBBGW1ZTEPR29,Bank of St. Francisville,,
549300BNZVNK1XN85P72,American State Bank,,
549300JKZP45L168QC29,Bank of Gibson City,,
549300NN5CG5Q640OV05,Hickory Point Bank and Trust,,
549300DHRESF8KLNP162,Southwest Missouri Bank,,
25490081ZRNCBNUFA124,Commodore Bank,,
5493003JPO4OLRGNJI77,The Farmers Savings Bank,,
549300QT4SBXGF2B9B45,Scotiabank de Puerto Rico,,
549300XUMLWCTTKR4B35,First Community Bank,,
549300UOLN2P4VM4Z591,State Bank,,
2549004DP0SBHRLH4J27,The Bank of Magnolia Company,,
549300U4NMMQ8OEM3D10,CENTRAL VALLEY COMMUNITY BANK,,
549300MP3KK77THHQT36,Bank of the Pacific,,
254900DIGH8B5QJNCC06,"Peoples Bank & Trust Company of Pointe Coupee Parish, Inc",,
OYWNLMHNBQQ7BAH3EE86,Alpine Bank,,
5493001P1J1K386Q4G58,South Louisiana Bank,,
549300O2D8BPO6PJRB90,Armstrong Bank,,
549300ZX7CMZ93QCZQ91,First Citizens Bank,,
254900MHEKUVX1BTCD10,Community State Bank,,
549300U0JNFQTFMNJ219,AVB Bank,,
5493007XQ02VMXYJYJ21,The Cape Cod Five Cents Savings Bank,,
549300JXIQJRQ1HME757,Florence Bank,,
5493006NTCY0P06JR884,Salem Five Cents Savings Bank,,
549300MGJ0J02F6KDW38,"First Jackson Bank, Inc.",,
5493000B61DDZ2PG1515,"TBK BANK, SSB",,
5493000XGU4RX824L971,"Citizens' Bank, Inc.",,
549300HC145ABINEFL26,Municipal Trust and Savings Bank,,
549300E3UCOTNUZIEB53,Mauch Chunk Trust Company,,
549300RS5LTZ0JDZYI59,Dedham Institution for Savings,,
549300LR1ZETOWYE9Z89,Berkshire Bank,,
549300ENXD6MBH06E085,Bristol County Savings Bank,,
549300HKYBSATM44Q425,"The Washington Trust Company, of Westerly",,
X6T32LKEPUT8LQMW6755,Republic Bank & Trust Company,,
5493002BECVKN2TJ6H05,TrailWest Bank,,
549300U2W3RYPYVWZY37,Belmont Savings Bank,,
549300T8HS215KI8TH55,OneUnited Bank,,
5493005NN76XZ2NOFH19,Country Bank for Savings,,
254900PJE92MJL4Y1A11,The Harbor Bank of Maryland,,
549300D4L76B477GHY32,Ocean Bank,,
549300X7MNC0F2QS1T02,Yorktown Bank,,
549300L4Z4LTG4TJTM66,First Community Bank,,
2549003VO95NGF435U70,"Clay County Bank, Inc.",,
549300ZZ7K4DPF84PF16,"Pioneer Community Bank, Inc.",,
254900S2BHB4ZY0JPI53,Raccoon Valley Bank,,
3T5M8FX6V6B82KVKOB17,Interaudi Bank,,
254900JU2DYRJVDHMG47,Citizens State Bank,,
5493003Q218ZJ8R1WN88,Badger Bank,,
2549001Z9LKB35FX7237,McFarland State Bank,,
5493006ACVE4WEX8D790,Bank of Deerfield,,
254900OZCVAL2OC4DT59,State Savings Bank,,
254900UKSP6SQGRSFL18,International Finance Bank,,
5493001FKX0BM8GN6P73,Woori America Bank,,
5493002HQPD3K5EOQP52,Grand Valley Bank,,
549300YV77ZZ5ADLO929,Habib American Bank,,
549300VHBALPLHRR4080,City Bank,,
549300T2W7KSNSLZLF18,Points West Community Bank,,
254900E5RO9KE6OFNQ81,"Finance Factors, Limited",,
549300GGXWS23NTTOB96,Meade County Bank,,
254900AKNL0HLB9M9B52,TRUBANK,,
549300IZ5GOBKOERL931,Luana Savings Bank,,
549300K77JMKPUYBOI69,International Bank of Commerce,,
549300IUGPU6Q7414X38,Murphy Bank,,
549300YK8RG6J51VOI08,Community Bank,,
549300EJ3PWN9QTWAN34,Peoples Bank & Trust,,
4LJGQ9KJ9S0CP4B1FY29,Stock Yards Bank & Trust Company,,
5493007MVCEU8QCNWC60,Rio Bank,,
549300W7XZMMFOVY0Z37,"NewTowne Mortgage, LLC",,
549300X844WCY1CCL322,"GSB MORTGAGE, INC.",,
549300DZCP6EQ7DCSD79,"UNIVERSITY LENDING GROUP, LLC",,
5493006KZB83W7Y3CD15,DUNDEE MORTGAGE LLC,,
2549005AULHKP8HBJL75,Home Bank of California,,
549300VUQ4KD10YTTM53,Genesee Regional Bank,,
549300T0NMTRA1FGK873,The Village Bank,,
254900M6W35LL9PWTN67,Flint Hills Bank,,
549300V8T6PR1YOM6967,State Bank of Southwest Missouri,,
5493003CJTOY2FH5V515,Atlantic Stewardship Bank,,
549300UN8J4H5P8XWP62,The Pittsfield Co-operative Bank,,
549300L1RVMMHUVKTQ94,MutualOne Bank,,
549300SE6YAYK0PZZR74,Bank of Idaho,,
549300PGT5K5GACK2444,"Potomac Mortgage Group, Inc.",,
549300T92XVMWQW75772,Haverhill Bank,,
549300C2GTHMQQJ5CS20,Everett Co-operative Bank,,
5493004LN4GS7BNXIO13,Fidelity Co-operative Bank,,
549300EQ09ZL8XSYZM84,Savers Co-operative Bank,,
549300IR5Y1VVVU3CZ57,SAGE BANK,,
549300B3J2ZHX7QFH171,"North Shore Bank, a Co-operative Bank",,
549300XG34SHK1BHL795,Melrose Bank,,
2549007JFUKTY2NW6090,Methuen Co-operative Bank,,
549300YEQNQT8LV5N068,Wakefield Co-operative Bank,,
549300TXW4YZE1CSWA75,Cape Cod Co-operative Bank,,
5493003OSI5CD032EN89,Denali State Bank,,
549300GS4TO8CL1SR344,BankGloucester,,
54930034MXV88NNFY879,Norwood Co-operative Bank,,
549300M2W1M6WRAK9S59,"StonehamBank, A Co-operative Bank",,
549300983ZYTJMCZTA21,COASTAL HERITAGE BANK,,
549300B4RK7F18UZ4X46,Wrentham Co-operative Bank,,
5493002Q3RPRW6RCXC39,Dedicated Community Bank,,
549300FR7PGHS5RN4G56,ABINGTON BANK,,
549300GVEJOGJ2M8S208,FARMERS DEPOSIT BANK,,
549300870JZ39IQGKY98,Beverly Bank,,
549300VL5YQZY88SDD73,Wellesley Bank,,
254900QA42CLV3RMFZ29,BANK OF THE WEST,,
549300BOX0L2YKKXKO38,Mechanics Cooperative Bank,,
R7JQ9JTCFHXBQU4XIT26,Firstrust Savings Bank,,
549300SP0WF5J8HGAC84,Bandera Bank,,
549300QVY7F9778XM742,Bank of Alma,,
549300CGYC6O4770DL96,Kentucky Farmers Bank Corporation,,
5493002UNUIL8WHZAD63,"River City Bank, Inc.",,
254900667M5CK6Y3DF27,Banco do Brasil Americas,,
549300J08BVKMFC3Z033,Bank of South Texas,,
549300JGL6C3EZEB8H05,Green Belt Bank & Trust,,
5493003VT065KPIN8879,Home Savings Bank,,
549300FOTVC2DXJ6YD92,EvaBank,,
549300ZW58TM1KU8CK35,Falcon International Bank,,
549300YQ763HO7N3CO68,The Bank of South Carolina,,
5493007OJ7D42T6RE854,The Cooperative Bank,,
549300TNGC371911XJ76,Bank of Cleveland,,
254900PVWALA7JTBXA31,Wilson Bank And Trust,,
549300XFFRJX2835SG22,Texas Bank Financial,,
549300O51V8F4P0SOY08,"First Oklahoma Mortgage, LLC",,
549300O533WDHBZ8JV02,CLOVER COMMUNITY BANK,,
549300QU5HBONFFVVX28,First Bank & Trust,,
549300L8L9JJ29KEYQ27,Charlotte State Bank & Trust,,
254900KPOZQ8VODWDS72,"First State Bank of the Southeast, Inc.",,
5493005NE66BD75BDB43,"Towne Mortgage of the Carolinas, LLC",,
549300D88XVKM6DJOC77,"Traditional Bank, Inc.",,
549300MNJT84X74B3052,Premier Bank of the South,,
549300ZCC628OMXIBR11,Northmark Bank,,
549300PUSSF737Y6XW86,FIRST CHOICE LOAN SERVICES INC.,,
549300PVF6X52PEPRD05,Englewood Bank & Trust,,
549300JRILZK0V54TR93,First Community Bank of Tennessee,,
549300VAKB2KKNNL5K89,"Country Bank Holding Company, Inc.",,
LBIZXW7X2N50PETIH863,STAR Financial Bank,,
K0ZDN2CBIQC0EHBKNK35,Enterprise Bank & Trust,,
549300E4I5AJ7XJ4DL31,Winchester Co-operative Bank,,
549300D1R5SJ6KWBXT17,"COLUMBIA BANK, THE",,
549300PGGER0PNTPEF93,ORITANI FINANCE,,
549300DASRDHPPEK5V15,Dean Co-operative Bank,,
549300TOUQ38J2723B48,Republic Bank & Trust,,
549300JNTZTF40KCOF79,Republic Bank,,
2549001E11O22GGBEL86,Prairie State Bank and Trust,,
549300W8Q4KZC8LMAV19,First Metro Bank,,
549300H6C1OV8E3V1P15,First Bank & Trust Co.,,
5493008ZK5SW6NTWB533,Enterprise Bank and Trust Company,,
549300MNZECUR067HB12,BancFirst,,
254900QQRCPCOBBNDA41,Bank of the Lowcountry,,
5493007ZN3JNCBPMI730,"Morgantown Bank & Trust Company, Incorporated",,
549300TKQ160XK8DFP13,Standing Stone Bank,,
549300KI5WZF5PXKAF12,Metro Bank,,
5493002T7QJXHY7QTC73,1st Constitution Bank,,
254900Z8HZ6PMY4EY406,North Alabama Bank,,
254900U6H520K7TCA169,The Glen Burnie Mutual Savings Bank,,
549300SDO5FP7F86HH46,"FNB Bank, Inc.",,
549300541HUKI2R50N92,Old Line Bank,,
8VPESZVIXN83ENVWIB56,FULTON BANK OF NEW JERSEY,,
549300P6E4MG6WR4CW75,Slovenian Savings and Loan Association of Canonsburg,,
549300R4IPEM23JRUH35,Altoona First Savings Bank,,
549300BGIT0LFI12Z304,"Security Bank, s.b.",,
549300MOTRV68OSXM837,Mutual Savings Bank,,
549300V3ZIDKPJ5RPX64,MutualBank,,
549300OYKQOTFQTAV150,"Standard Bank, PaSB",,
549300H0KQCD2P5IR560,West View Savings Bank,,
549300YAGLRHLP0JP559,InFirst Bank,,
5493007O9PUUYS1SVR64,MidSouth Bank,,
549300NLS4UT5V6RUS41,William Penn Bank,,
549300O2WI1UYPLRU579,Salem Co-Operative Bank,,
549300YBDU83IKL6II41,Brentwood Bank,,
549300KKX02L29KSGS91,Our Community Bank,,
549300ZUNYZG3NYL2P40,"ROYAL FINANCIAL, INC.",,
549300I25RV02D0T7075,The Harrison Building and Loan Association,,
5493005JXQCVNMUHBR38,Yakima Federal Savings and Loan Association,,
5493009ZQ1VZ1HZCL108,West Town Bank & Trust,,
549300EBN45MAXGIP071,The Cincinnatus Savings & Loan Co.,,
LVR1UQE8OOCO93IHEB52,Northwest Bank,,
549300OI0FPX2S8I4O26,AUDUBON SAVINGS BANK,,
5493009X43PYFESZ7G38,Jacksonville Savings Bank,,
549300IE8IEY5YINFE12,Haddon Savings Bank,,
549300W5E3L00UZ6F777,ESSA Bank & Trust,,
549300LE3ZOZXUS7W648,FIDELITY BANK,,
5493002LFCYKY0EGSQ80,Belmont Savings Bank,,
2549002AOWUCD3BSTP80,AmeriFirst Bank,,
549300Z7EP1HO5CH1C36,First Palmetto Bank,,
549300XW2H531FLD3I90,First Federal Savings and Loan Association of Port Angeles,,
254900MKY47WU65N1J56,Timberland Bank,,
254900YZXO90KYO4PC68,ANCHOR BANK,,
254900Q1G2KB2C5CMN65,Liberty Bank,,
254900YFG40I5QM6EX80,Roxboro Savings Bank SSB,,
549300TDS8QNL4IOOX73,Farmers and Mechanics Federal Savings Bank,,
WE0I402RW25AU38DTI13,Banner Bank,,
549300GDJSUYPH6UC416,"WaterStone Bank, SSB",,
5493008EWJQJ6SK2V234,"TrustTexas Bank, SSB",,
254900IER2H3R8YLBW04,Forward Bank,,
549300Y0F8X17ADZK505,First Bank Richmond,,
549300KL7MLR63WYCF68,Valley Central Bank,,
549300HMUOLWELP0MC24,Roselle Bank,,
5493001ZYMBN3CK8LJ82,Sturgis Bank & Trust Company,,
2549008GIE3QVYB2FT28,Olympia Federal Savings & Loan Association,,
549300N24HTC7KQ3LC70,"The Equitable Bank, S.S.B.",,
5493008HZMBEJQEY0J72,First Federal Savings and Loan Bank,,
54930011XGI0KW5CF021,The Brookville Building and Savings Association,,
549300M30GL2Z6BZD736,Guaranty Bank,,
549300LUGRN3W0T8HN74,Conneaut Savings Bank,,
549300JH5DMYH0O5TM77,Ambler Savings Bank,,
5493006QWIE0LNISWM30,GSL Savings Bank,,
549300D992SE497KXK81,Glen Rock Savings Bank,,
549300B92DSVIKGP5T53,Hoyne Savings Bank,,
549300N6U5XCH70TOK35,Kearny Bank,,
549300B201Z415GE5E85,"Somerset Savings Bank, SLA",,
5493003DHZPFGQQJCU86,Sturdy Savings Bank,,
549300TSV5GUFPY3IT90,Superior Savings Bank,,
549300B7GCPQ437Y5E78,Sharon Bank,,
549300G7S7F0HVM24F79,"West End Bank, S.B.",,
549300WI4N6NVVJ1DV85,Crest Savings Bank,,
549300YQIT31SHVP5K64,United Savings Bank,,
254900XX2FPZR1Y4FO11,Community Savings Bank,,
549300XRBLWUN6J76L65,Oritani Bank,,
254900SBY94JVYQ1Y131,Iron Workers Savings Bank,,
25490076EQ27D6EE6T16,Lincoln 1st Bank,,
5493000TY1MM1LLTM666,Liberty Bank for Savings,,
254900048S1FLI3G2922,Mechanics Bank,,
549300Z2B4FHRYOXTS09,Heritage Bank,,
549300MTH7LUU0OHYB47,First Federal Savings Bank,,
5493003K18C4JU5UJ328,First Financial Northwest Bank,,
2549000G994H1EDP5G59,"Tarboro Savings Bank, SSB",,
549300OEWY869SOVHF18,Union Savings Bank,,
549300NWBS6MQJX15N44,NexBank,,
549300CHNWFL158WI547,Washington Savings Bank,,
254900P4A09O6AABF892,First Southern Bank,,
549300YW4WSUXGQLHY65,Compass Savings Bank,,
5493000HR6P25A740Y77,Armstrong County Building and Loan Association,,
5493000M096YV1VLKD70,Washington Financial Bank,,
549300Y7HCU10KIRLG30,Peoples Bank,,
549300B179BQ21VGC573,DEWITT SAVINGS BANK,,
1TMVIO1SD0RLIPEIW803,Great Southern Bank,,
549300E8XHQWHOJSZJ97,Pinnacle Bank,,
